[7l----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total- --io/total- ------sockets------ ----tcp-sockets----
usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send| read  writ|tot tcp udp raw frg|lis act syn tim clo
 17   2  80   0   0   1| 540k  986k|5179M  389M 57.0G  557M|   0     0 |5.52  30.0 |405 192  20   0   0| 20 163   2   1 219
 11   2  87   0   0   0|   0   192k|5179M  389M 57.0G  557M|1360k 5407k|   0  4.00 |404 192  20   0   0| 20 162   2   1 219
  8   2  89   0   0   1|   0    48k|5179M  389M 57.0G  557M|1506k 5029k|   0  4.00 |385 175  20   0   0| 20 140   4   1 236
 12   2  84   0   0   1|   0     0 |5180M  389M 57.0G  556M|1664k 6116k|   0     0 |384 172  20   0   0| 20 141   4   1 235
 11   2  86   0   0   0|  12k  640k|5180M  389M 57.0G  556M|1618k 5429k|1.00  18.0 |387 175  20   0   0| 20 143   2   1 233
 10   2  88   0   0   0|   0     0 |5180M  389M 57.0G  556M|1438k 5313k|   0     0 |389 177  20   0   0| 20 144   2   1 231
 16   4  80   0   0   1|   0     0 |5180M  389M 57.0G  556M|1521k 5655k|   0     0 |509 297  20   0   0| 20 268   8   1 185
 11   2  86   0   0   1|   0     0 |5180M  389M 57.0G  555M|1284k 4678k|   0     0 |518 305  20   0   0| 20 276   4   1 185
 14   2  84   0   0   0|   0    16k|5178M  389M 57.0G  558M|1195k 4990k|   0  4.00 |516 306  20   0   0| 20 280   2   1 175
 12   2  86   0   0   0|   0   112k|5178M  389M 57.0G  558M|1337k 4974k|   0  2.00 |518 307  20   0   0| 20 280   3   1 172
 23   4  71   0   0   1|4096B 6236k|5188M  389M 57.0G  537M|1462k 5320k|1.00   212 |525 313  20   0   0| 20 281   2   1 174
 16   4  80   0   0   0|   0     0 |5185M  389M 57.0G  551M|1197k 4439k|   0     0 |523 314  20   0   0| 20 284   2   1 172
 21   3  76   0   0   1|3964k    0 |5176M  389M 57.0G  556M|1175k 4795k|29.0     0 |521 312  20   0   0| 20 287   2   1 168
 12   2  85   0   0   1|   0     0 |5176M  389M 57.0G  556M|1174k 4897k|   0     0 |521 314  20   0   0| 20 284   2   1 167
