WS ERROR64 ERROR128 ERROR256
1 31.8356 32.336 33.8715
2 31.1882 33.1244 33.6709
3 31.9037 32.621 34.6397
4 31.3975 31.7082 33.1102
5 31.0327 31.0344 31.4512
6 31.0737 31.1022 31.2189
7 31.5532 31.3075 35.3763
8 31.7236 32.8628 36.1559
9 31.7526 32.2349 37.6478
10 31.4062 32.0571 36.3325
11 30.8121 31.0194 32.3534
12 30.7918 30.956 30.9597
13 31.227 31.9231 34.855
14 31.6855 33.3319 40.7605
15 31.7048 34.6155 39.9984
16 31.5644 33.1931 38.0875
17 30.8279 31.6091 40.4096
18 30.617 30.6896 41.4025
19 30.9343 31.4031 33.2761
20 31.4468 33.4535 40.3513
