WS TIME64 TIME128 TIME256
1 0.141534 0.501229 1.76746
2 0.256668 0.862886 3.12248
3 0.358836 1.19841 4.28101
4 0.457163 1.57399 5.70737
5 0.519572 1.92073 7.16178
6 0.576366 2.23567 8.52787
7 0.643142 2.5962 9.48881
8 0.986699 3.01473 10.9329
9 0.969237 3.3377 13.0772
10 0.95262 3.71141 13.5821
11 1.04505 4.20053 14.5731
12 1.15969 4.34536 16.5753
13 1.24598 5.06861 17.241
14 1.24015 5.2711 19.2728
15 1.50198 5.72017 20.9941
16 1.51121 5.98133 24.5025
17 1.5989 5.97924 24.6206
18 1.78582 6.51365 23.927
19 1.87569 6.92255 25.9218
20 1.92179 7.02643 33.3884
