WS ERROR64 ERROR128 ERROR256
1 93.4492 33.5735 19.8109
2 56.4286 21.0786 9.25539
3 43.873 12.7374 7.60823
4 36.3156 11.2098 4.99245
5 24.6433 10.0138 4.9091
6 30.1987 9.733 5.48124
7 26.6719 9.8882 5.41182
8 23.5459 10.2757 6.6321
9 26.4721 11.8349 10.5376
10 22.5364 11.5272 8.47536
11 28.1188 12.3847 9.04358
12 28.9419 14.265 10.199
13 26.2982 14.1278 11.243
14 28.3223 21.0556 12.2744
15 24.1752 16.9021 11.29
16 24.8404 17.2115 13.898
17 26.5335 20.4443 14.2954
18 29.0025 18.1333 13.2174
19 28.6444 21.0498 18.244
20 30.5685 26.898 23.2974
