WS TIME64 TIME128 TIME256
1 3.14192 9.6534 34.7457
2 4.83128 16.7492 59.8083
3 6.59131 24.1964 83.979
4 8.54532 30.6094 110.895
5 10.7657 38.2424 143.256
6 14.8753 45.5518 176.757
7 15.305 52.2755 190.818
8 17.1085 58.81 205.747
9 19.1413 68.1771 230.68
10 21.4335 70.3064 256.405
11 23.6353 76.7722 279.283
12 23.989 88.5795 319.919
13 27.5987 96.8803 320.028
14 31.1571 96.3426 341.956
15 32.7431 107.966 360.487
16 33.6719 109.787 380.075
17 36.7712 123.197 399.74
18 38.5947 131.119 415.71
19 40.101 139.233 434.011
20 42.0308 142.629 451.946
