WS ERROR32 ERROR64 ERROR128
1 54.1543 37.862 33.8656
2 39.6614 39.2353 34.3419
3 39.5686 36.2524 35.3965
4 35.9872 35.6568 37.2794
5 35.2816 36.1416 37.3657
6 35.0443 38.0492 39.4584
7 35.8481 37.5078 39.7766
8 35.9273 37.4181 42.4924
9 37.6513 39.6621 42.1068
10 39.1427 38.9707 43.4886
11 37.5185 40.1714 42.9954
12 40.1174 41.7253 42.3214
13 38.6225 40.7173 44.7603
14 39.9479 41.247 41.2762
15 39.4888 41.7442 43.4504
16 39.908 42.4173 43.3582
17 40.5809 41.8999 41.3738
18 41.571 41.3279 41.1859
19 40.4957 41.3538 38.9209
20 41.6557 40.9084 37.0667
