WS TIME64 TIME128 TIME256
1 1.0382 2.44869 7.47442
2 1.57888 3.99396 12.4443
3 2.15797 5.83118 20.3425
4 2.53771 7.22557 27.3472
5 2.88801 11.0381 33.8349
6 3.45805 11.8143 39.9907
7 4.93874 11.9448 46.4512
8 5.38885 13.4262 52.8797
9 5.24609 15.0901 53.8149
10 5.18961 16.7486 60.0555
11 5.56532 18.2435 69.24
12 6.08804 18.8061 74.236
13 6.64527 22.3245 80.153
14 7.04252 23.889 85.248
15 7.62145 27.892 91.782
16 8.3111 27.9882 96.357
17 8.68406 29.1797 101.008
18 9.08262 30.2038 106.402
19 9.92769 31.0444 118.291
20 10.2646 35.901 122.595
