UD ERROR64 ERROR128 ERROR256 TIME64 TIME128 TIME256
1 31.5799 35.9343 36.6236 0.203666 0.583086 1.74199
2 32.3116 36.8449 43.0447 0.346015 0.819193 2.93821
3 30.968 30.5832 37.51 0.327176 1.18269 4.25324
4 29.4716 29.6109 32.7657 0.417399 1.55997 5.70187
5 25.8821 27.6398 39.914 0.496062 1.90235 6.90629
6 28.1378 24.6738 33.662 0.612483 2.19605 8.19759
7 27.3248 28.5382 25.6012 0.704034 2.50877 9.55757
8 25.6025 25.8527 27.5389 0.808466 2.85082 10.7564
9 24.9191 21.582 29.854 0.878883 3.1483 12.9465
10 24.8049 25.6073 28.6719 0.938001 3.45434 13.9291
11 23.7526 22.7955 20.4282 1.02029 3.80906 14.7994
12 23.753 24.5025 24.4645 1.1134 4.2902 17.0092
13 22.1777 22.5134 16.2592 1.22825 4.55557 18.0024
14 25.2863 22.308 17.1825 1.29062 4.87606 18.8105
15 24.0358 21.0223 21.4081 1.39044 5.20784 20.2096
16 23.5033 19.9823 25.8952 1.52343 5.49555 21.8091
17 22.8999 21.0864 20.2286 1.63774 5.93794 23.3586
18 20.2333 18.4264 21.9253 1.76026 6.21158 24.4575
19 26.9098 14.8667 14.384 1.86045 6.66358 25.5764
20 27.5629 17.3931 18.011 1.89726 6.88005 27.3812
