UD ERROR64 ERROR128 ERROR256 TIME64 TIME128 TIME256
1 93.4492 33.5735 19.8109 3.14192 9.6534 34.7457
2 56.4286 21.0786 9.25539 4.83128 16.7492 59.8083
3 43.873 12.7374 7.60823 6.59131 24.1964 83.979
4 36.3156 11.2098 4.99245 8.54532 30.6094 110.895
5 24.6433 10.0138 4.9091 10.7657 38.2424 143.256
6 30.1987 9.733 5.48124 14.8753 45.5518 176.757
7 26.6719 9.8882 5.41182 15.305 52.2755 190.818
8 23.5459 10.2757 6.6321 17.1085 58.81 205.747
9 26.4721 11.8349 10.5376 19.1413 68.1771 230.68
10 22.5364 11.5272 8.47536 21.4335 70.3064 256.405
11 28.1188 12.3847 9.04358 23.6353 76.7722 279.283
12 28.9419 14.265 10.199 23.989 88.5795 319.919
13 26.2982 14.1278 11.243 27.5987 96.8803 320.028
14 28.3223 21.0556 12.2744 31.1571 96.3426 341.956
15 24.1752 16.9021 11.29 32.7431 107.966 360.487
16 24.8404 17.2115 13.898 33.6719 109.787 380.075
17 26.5335 20.4443 14.2954 36.7712 123.197 399.74
18 29.0025 18.1333 13.2174 38.5947 131.119 415.71
19 28.6444 21.0498 18.244 40.101 139.233 434.011
20 30.5685 26.898 23.2974 42.0308 142.629 451.946
