UD ERROR64 ERROR128 ERROR256 TIME64 TIME128 TIME256
1 37.862 33.8656 39.9591 1.0382 2.44869 7.47442
2 39.2353 34.3419 36.0588 1.57888 3.99396 12.4443
3 36.2524 35.3965 39.3744 2.15797 5.83118 20.3425
4 35.6568 37.2794 42.7521 2.53771 7.22557 27.3472
5 36.1416 37.3657 46.3385 2.88801 11.0381 33.8349
6 38.0492 39.4584 42.3085 3.45805 11.8143 39.9907
7 37.5078 39.7766 40.2323 4.93874 11.9448 46.4512
8 37.4181 42.4924 45.7339 5.38885 13.4262 52.8797
9 39.6621 42.1068 44.1131 5.24609 15.0901 53.8149
10 38.9707 43.4886 45.5435 5.18961 16.7486 60.0555
11 40.1714 42.9954 49.2874 5.56532 18.2435 69.24
12 41.7253 42.3214 44.2039 6.08804 18.8061 74.236
13 40.7173 44.7603 40.207 6.64527 22.3245 80.153
14 41.247 41.2762 43.9234 7.04252 23.889 85.248
15 41.7442 43.4504 42.2016 7.62145 27.892 91.782
16 42.4173 43.3582 46.1823 8.3111 27.9882 96.357
17 41.8999 41.3738 44.2981 8.68406 29.1797 101.008
18 41.3279 41.1859 42.2033 9.08262 30.2038 106.402
19 41.3538 38.9209 39.9327 9.92769 31.0444 118.291
20 40.9084 37.0667 44.8375 10.2646 35.901 122.595
