T TARGET TDNN RNN
980 0.417457 0.407599 0.480119
981 0.472387 0.457861 0.502392
982 0.0761703 0.119703 0.424057
983 0.625865 0.640118 0.540128
984 0.435018 0.432357 0.438173
985 0.984809 0.906245 0.595614
986 0.365531 0.354509 0.469511
987 0.621187 0.632978 0.521335
988 0.00119191 0.0885274 0.454495
989 0.601663 0.610859 0.530962
990 0.364418 0.351318 0.479043
991 0.963562 0.897821 0.565609
992 0.471531 0.47468 0.488447
993 0.610586 0.622651 0.540675
994 0.115232 0.138209 0.424075
995 0.423531 0.400772 0.512209
996 0.444079 0.436937 0.49952
997 0.775088 0.789617 0.536392
998 0.698328 0.724636 0.527108
999 0.486788 0.484686 0.500312
