UD ERROR64 ERROR128 ERROR256 TIME64 TIME128 TIME256
1 31.0422 35.4215 29.6739 0.286647 0.983235 3.37138
2 29.9984 27.7901 24.8593 0.535823 1.80129 6.54921
3 28.1434 24.3093 24.905 0.702591 2.6135 9.60545
4 23.2222 20.1248 12.883 0.955167 3.44956 13.5743
5 21.7188 20.9833 12.4489 1.1762 4.11123 16.0331
6 18.822 12.6573 12.3666 1.29074 4.89416 19.0548
7 18.8083 12.9763 7.80901 1.49927 5.5767 23.5289
8 20.0695 13.9058 13.953 1.6977 6.36149 26.1033
9 15.2245 12.7338 9.15119 1.84705 7.01811 29.682
10 14.8191 13.5512 12.4073 2.13432 7.70087 31.5982
11 13.299 10.3334 8.28864 2.28129 8.56275 35.4663
12 13.1886 11.4693 6.01571 2.64898 9.81987 39.3046
13 15.7226 9.02854 11.2472 2.68425 9.9454 45.1718
14 16.3682 10.218 7.58271 2.88405 10.7641 50.5771
15 14.418 9.28025 8.34187 3.30105 12.0835 53.996
16 14.4921 11.456 10.2524 3.33828 12.5832 54.1592
17 11.196 10.8306 9.38747 3.48353 12.8822 56.1522
18 10.3908 8.42126 8.19594 3.71746 13.8593 62.9938
19 10.0917 7.56164 5.22794 3.85451 14.1905 63.4649
20 9.51288 10.6326 4.6818 3.99308 16.0735 64.3916
