UD ERROR64 ERROR128 ERROR256 TIME64 TIME128 TIME256
1 111.614 32.1017 14.5613 4.67924 17.1121 65.7106
2 54.8412 22.4385 6.76747 8.4305 36.0047 126.339
3 57.4768 17.1069 4.65461 12.1403 47.2674 182.85
4 42.693 10.3235 5.66 16.1454 65.5721 246.123
5 39.3597 18.0117 6.29768 21.0021 81.2032 302.265
6 30.1229 11.8732 5.932 23.4191 92.8779 361.986
7 26.784 9.22508 6.7284 27.0645 99.9388 423.763
8 27.9315 9.55456 7.235 30.8386 113.819 487.8731
9 28.7444 14.149 10.1268 34.5472 127.976 538.732
10 26.5799 10.0449 9.0013 38.6058 142.019 585.836
11 27.1834 12.0259 11.8254 43.5945 156.153 652.882
12 22.7249 14.9559 13.29763 46.3855 170.09 700.53
13 29.2504 19.174 16.837 53.3643 185.984 775.4482
14 33.5435 23.49 14.03 59.788 199.264 844.402
15 28.6076 17.714 19.52 65.0039 213.261 900.087
16 34.4837 27.31 18.7902 65.4478 228.081 951.9924
17 32.4131 20.2907 22.267 70.5954 240.548 1039.903
18 39.3529 19.763 25.997 70.3577 254.173 1082.377
19 48.052 29.65 28.2653 79.969 280.826 1165.4935
20 34.2239 24.75 29.185 77.5814 314.395 1199.8642
