UD ERROR64 ERROR128 ERROR256 TIME64 TIME128 TIME256
1 38.2691 42.7525 31.6902 1.05587 4.40086 15.976
2 37.7294 34.1121 35.7868 1.69297 7.87759 29.5377
3 34.7191 33.6321 39.4663 2.53455 11.5178 36.1442
4 34.3557 37.3332 43.3263 3.37812 14.9739 48.1064
5 34.3305 38.5314 45.7887 4.00669 18.7996 59.7911
6 33.7537 39.6304 41.4843 4.78158 22.3605 78.342
7 35.4455 39.2121 40.9217 5.48715 26.0237 89.5637
8 36.9467 41.1207 39.2921 6.30563 29.269 102.2842
9 37.3731 40.6526 41.5529 7.16001 33.1455 121.9274
10 37.7049 40.3722 38.3982 7.98831 36.9264 143.9834
11 38.1935 43.1185 40.0135 8.71092 40.4778 169.2849
12 39.3669 42.4866 43.0991 9.55311 44.1171 187.8821
13 41.2377 43.1721 44.9248 10.1819 48.0729 204.2012
14 41.6875 43.536 42.2476 11.2243 51.617 221.0943
15 41.4339 39.8846 41.2849 11.4551 55.2236 239.911
16 40.46 38.2916 39.9236 11.7891 58.5928 266.3902
17 41.3093 39.4583 38.3833 12.4713 62.2172 287.6394
18 42.3005 38.6885 40.0012 13.1329 66.2073 306.9024
19 40.6704 39.1274 41.7852 13.8715 69.7638 322.0984
20 40.5497 36.6141 40.0245 14.5474 73.5632 348.9364
