WS ERROR64 ERROR128 ERROR256 TIME64 TIME128 TIME256
1 33.5074 43.0979 61.3318 0.0151209 0.027965 0.0518065
2 32.8734 42.5096 61.0832 0.0155588 0.0320591 0.059995
3 20.9983 12.8797 13.1406 0.0161837 0.0347943 0.0630697
4 21.1347 12.2719 12.4149 0.0216933 0.037263 0.0729303
5 20.726 12.2774 11.2877 0.02049 0.0408914 0.0812022
6 17.7271 11.0494 10.9647 0.0217519 0.040167 0.0959278
7 16.612 9.417 9.13087 0.0250311 0.0474937 0.099416
8 16.7858 8.77818 8.3336 0.0264599 0.0508828 0.107822
9 15.9073 9.15553 10.7733 0.0295059 0.0536921 0.108056
10 14.3538 7.52587 6.58572 0.0267463 0.0574443 0.125976
11 14.4032 7.17546 6.45648 0.0294129 0.057977 0.130222
12 14.9412 7.05555 7.28159 0.0303347 0.0619156 0.124182
13 12.7076 5.96194 5.37133 0.0345677 0.067028 0.124356
14 12.0008 5.91688 5.41304 0.0355398 0.0658788 0.14094
15 11.9478 5.82225 5.90423 0.0377101 0.0705598 0.151349
16 10.4955 5.02429 4.70133 0.0377384 0.0741416 0.160175
17 10.2136 5.04379 6.08305 0.0398882 0.0777067 0.14965
18 10.0872 5.10395 4.79085 0.0402719 0.0788774 0.161072
19 8.95786 4.49976 5.89302 0.0460173 0.0853211 0.165728
20 8.92687 4.4098 4.70452 0.0457647 0.0846788 0.170609
