WS ERROR64 ERROR128  ERROR256 TIME64 TIME128 TIME256
1 97.3108 57.1377 26.0078 0.762801 1.46809 2.52191
2 84.6249 43.9574 22.4889 1.09796 1.90409 3.51509
3 86.8007 42.6419 21.7456 1.35339 2.45069 4.41302
4 96.3622 53.291 24.6865 1.64305 2.87091 5.59812
5 101.111 55.111 27.3654 1.96181 3.40549 6.9618
6 96.8003 51.8535 40.0468 2.11553 3.99093 8.16156
7 90.5396 57.0177 43.6922 2.44568 4.35192 9.11682
8 95.887 56.0009 52.6113 2.86087 4.93832 10.4224
9 92.3381 51.0406 49.3456 3.0586 5.49249 11.2658
10 90.9768 62.6126 53.467 3.29904 5.97443 12.4448
11 92.8444 61.1758 60.1783 3.69363 6.53428 13.9995
12 93.1739 54.4008 47.9983 3.90563 7.0631 14.3153
13 94.8007 58.5084 64.2597 4.15582 7.59059 14.9443
14 93.4617 56.2913 63.7677 4.51677 8.06949 16.1254
15 89.8261 65.7718 57.2395 4.84339 8.91968 17.0258
16 91.5683 53.8495 63.2436 5.01927 9.56425 17.8288
17 93.5204 57.4865 60.8436 5.53821 10.0478 19.827
18 97.4277 53.9546 72.6936 5.71315 10.2127 20.4098
19 93.7574 63.8637 56.1558 5.88258 10.791 22.2763
20 94.8036 59.3894 69.643 5.94403 11.2668 24.2608
