WS ERROR64 ERROR128 ERROR256 TIME64 TIME128 TIME256
1 43.1577 40.5708 38.6314 0.527857 0.828652 1.32169
2 36.246 34.0738 35.7057 0.604666  1.0025 1.77656
3 40.383 33.0467 40.386 0.713276  1.34808 2.51137
4 36.4982 35.6537 36.2363 0.874063 1.60582 3.21944
5 39.8063 33.9048 38.3993 1.01564 1.87012 3.69012
6 37.5652 35.6875 47.02 1.15092 2.21746 4.40945
7 37.0893 32.4907 35.0372 1.32381 2.43267 5.10372
8 41.8077 32.7967 37.3779 1.49845 2.75053 5.53866
9 42.2426 36.6075 36.1446 1.61691 3.05112 6.4501
10 37.4711 37.3028 37.8538 1.77903 3.2942 6.84668
11 38.6389 31.9427 33.6803 1.92866 3.60557 7.52048
12 40.8774 32.6051 39.2886 2.11233 3.88266 8.09954
13 41.0031 36.5486 33.5984 2.2401 4.18582 8.58191
14 43.6265 33.3098 35.0172 2.37787 4.48387 9.21745
15 41.5065 38.5151 40.4829 2.52744 4.87905 10.0274
16 40.9311 33.1793 34.4439 2.70177 5.1603 10.8352
17 39.0937 38.9826 34.7141 2.80802 5.28385 10.6633
18 39.3696 32.8149 28.8054 3.01531 5.70793 11.2782
19 39.6428 41.8011 34.5227 3.10927 5.97996 11.8715
20 38.8781 34.4297 32.6883 3.24701 6.33722 13.9705
