WS ERROR64 ERROR128 ERROR256
1 32.4032 32.5094 34.3211
2 31.9333 32.6377 35.9913
3 31.8812 32.9038 35.405
4 31.354 31.6113 33.029
5 30.988 30.7861 30.7713
6 30.423 30.9825 30.4662
7 30.5339 32.1325 34.6551
8 30.8711 32.8915 37.2704
9 31.7731 33.0069 36.9919
10 31.3079 32.0921 35.3296
11 30.7279 30.8986 31.3298
12 30.6578 30.4978 29.6862
13 31.3195 31.5966 34.4909
14 31.4313 32.7703 40.5225
15 31.5449 33.3542 39.4592
16 31.2732 32.7435 38.2377
17 30.6929 31.0065 35.1791
18 30.451 30.1068 33.4732
19 30.7018 31.9875 29.885
20 31.4109 30.3459 33.3792
