WS TIME64 TIME128 TIME256
1 0.28051 1.01176 3.51753
2 0.461031 1.65746 6.2231
3 0.649308 2.36789 10.0977
4 0.902754 3.134 12.8113
5 1.27839 3.77631 16.1174
6 1.34523 4.49102 19.1032
7 1.50498 5.11339 22.701
8 1.70699 5.88174 26.1963
9 1.89389 6.60194 29.3103
10 2.01363 7.36731 31.4137
11 2.21139 8.1839 33.8079
12 2.41767 8.79445 36.4096
13 2.56135 9.60876 39.5832
14 2.91494 10.357 42.628
15 3.07179 11.3184 46.3803
16 3.19267 13.1331 49.1645
17 3.43231 13.4301 52.1061
18 3.67893 14.7945 54.9755
19 3.76148 15.2732 58.0776
20 3.94677 15.9384 61.2796
