WS ERROR64 ERROR128 ERROR256
1 111.614 32.1017 14.5613
2 54.8412 22.4385 6.76747
3 57.4768 17.1069 4.65461
4 42.693 10.3235 5.66
5 39.3597 18.0117 6.29768
6 30.1229 11.8732 5.932
7 26.784 9.22508 6.7284
8 27.9315 9.55456 7.235
9 28.7444 14.149 10.1268
10 26.5799 10.0449 9.0013
11 27.1834 12.0259 11.8254
12 22.7249 14.9559 13.29763
13 29.2504 19.174 16.837
14 33.5435 23.49 14.03
15 28.6076 17.714 19.52
16 34.4837 27.31 18.7902
17 32.4131 20.2907 22.267
18 39.3529 19.763 25.997
19 48.052 29.65 28.2653
20 34.2239 24.75 22.286
