WS TIME64 TIME128 TIME256
1 4.67924 17.1121 65.7106
2 8.4305 36.0047 126.339
3 12.1403 47.2674 182.85
4 16.1454 65.5721 246.123
5 21.0021 81.2032 302.265
6 23.4191 92.8779 361.986
7 27.0645 99.9388 423.763
8 30.8386 113.819 487.8731
9 34.5472 127.976 538.732
10 38.6058 142.019 585.836
11 43.5945 156.153 652.882
12 46.3855 170.09 700.53
13 53.3643 185.984 775.4482
14 59.788 199.264 844.402
15 65.0039 213.261 900.087
16 65.4478 228.081 951.9924
17 70.5954 240.548 1039.903
18 70.3577 254.173 1082.377
19 79.969 280.826 1165.4935
20 77.5814 314.395 1199.8642
