WS ERROR64 ERROR128 ERROR256
1 38.2691 42.7525 31.6902
2 37.7294 34.1121 35.7868
3 34.7191 33.6321 39.4663
4 34.3557 37.3332 43.3263
5 34.3305 38.5314 45.7887
6 33.7537 39.6304 41.4843
7 35.4455 39.2121 40.9217
8 36.9467 41.1207 39.2921
9 37.3731 40.6526 41.5529
10 37.7049 40.3722 38.3982
11 38.1935 43.1185 40.0135
12 39.3669 42.4866 43.0991
13 41.2377 43.1721 44.9248
14 41.6875 43.536 42.2476
15 41.4339 39.8846 41.2849
16 40.46 38.2916 39.9236
17 41.3093 39.4583 38.3833
18 42.3005 38.6885 40.0012
19 40.6704 39.1274 41.7852
20 40.5497 36.6141 40.0245
