WS TIME32 TIME64 TIME128
1 0.630266 1.05587 4.40086
2 0.904399 1.69297 7.87759
3 1.12344 2.53455 11.5178
4 1.4474 3.37812 14.9739
5 1.70473 4.00669 18.7996
6 2.19802 4.78158 22.3605
7 2.4498 5.48715 26.0237
8 2.72524 6.30563 29.269
9 3.1278 7.16001 33.1455
10 3.348 7.98831 36.9264
11 3.62058 8.71092 40.4778
12 3.80629 9.55311 44.1171
13 4.3231 10.1819 48.0729
14 4.48801 11.2243 51.617
15 4.94107 11.4551 55.2236
16 5.16941 11.7891 58.5928
17 5.33416 12.4713 62.2172
18 5.71159 13.1329 66.2073
19 5.98835 13.8715 69.7638
20 6.50488 14.5474 73.5632
