WS ERROR128 ERROR256 ERROR512
1 43.0979 61.3318 63.6475
2 42.5096 61.0832 63.9969
3 12.8797 13.1406 14.88
4 12.2719 12.4149 13.8152
5 12.2774 11.2877 13.3935
6 11.0494 10.9647 12.9585
7 9.417 9.13087 9.43689
8 8.77818 8.3336 9.09208
9 9.15553 10.7733 9.15328
10 7.52587 6.58572 8.28831
11 7.17546 6.45648 7.56969
12 7.05555 7.28159 7.16774
13 5.96194 5.37133 6.41508
14 5.91688 5.41304 6.26172
15 5.82225 5.90423 6.91832
16 5.02429 4.70133 4.34235
17 5.04379 6.08305 6.84225
18 5.10395 4.79085 5.12291
19 4.49976 5.89302 4.17874
20 4.4098 4.70452 4.9316
