WS TIME128 TIME256 TIME512
1 0.027965 0.0518065 0.116499
2 0.0320591 0.059995 0.122782
3 0.0347943 0.0630697 0.136088
4 0.037263 0.0729303 0.138195
5 0.0408914 0.0812022 0.16075
6 0.040167 0.0959278 0.177471
7 0.0474937 0.099416 0.191182
8 0.0508828 0.107822 0.193338
9 0.0536921 0.108056 0.199743
10 0.0574443 0.125976 0.240367
11 0.057977 0.130222 0.228989
12 0.0619156 0.124182 0.242228
13 0.067028 0.124356 0.249189
14 0.0658788 0.14094 0.263756
15 0.0705598 0.151349 0.274345
16 0.0741416 0.160175 0.286529
17 0.0777067 0.14965 0.296133
18 0.0788774 0.161072 0.314801
19 0.0853211 0.165728 0.33534
20 0.0846788 0.170609 0.335624
