WS ERROR64 ERROR128  ERROR256
1 97.3108 57.1377 26.0078
2 84.6249 43.9574 22.4889
3 86.8007 42.6419 21.7456
4 96.3622 53.291 24.6865
5 101.111 55.111 27.3654
6 96.8003 51.8535 40.0468
7 90.5396 57.0177 43.6922
8 95.887 56.0009 52.6113
9 92.3381 51.0406 49.3456
10 90.9768 62.6126 53.467
11 92.8444 61.1758 60.1783
12 93.1739 54.4008 47.9983
13 94.8007 58.5084 64.2597
14 93.4617 56.2913 63.7677
15 89.8261 65.7718 57.2395
16 91.5683 53.8495 63.2436
17 93.5204 57.4865 60.8436
18 97.4277 53.9546 72.6936
19 93.7574 63.8637 56.1558
20 94.8036 59.3894 69.643
