WS TIME64 TIME128 TIME256
1 0.762801 1.46809 2.52191
2 1.09796 1.90409 3.51509
3 1.35339 2.45069 4.41302
4 1.64305 2.87091 5.59812
5 1.96181 3.40549 6.9618
6 2.11553 3.99093 8.16156
7 2.44568 4.35192 9.11682
8 2.86087 4.93832 10.4224
9 3.0586 5.49249 11.2658
10 3.29904 5.97443 12.4448
11 3.69363 6.53428 13.9995
12 3.90563 7.0631 14.3153
13 4.15582 7.59059 14.9443
14 4.51677 8.06949 16.1254
15 4.84339 8.91968 17.0258
16 5.01927 9.56425 17.8288
17 5.53821 10.0478 19.827
18 5.71315 10.2127 20.4098
19 5.88258 10.791 22.2763
20 5.94403 11.2668 24.2608
