WS ERROR128 ERROR256 ERROR512
1 40.5708 38.6314 34.9917
2 34.0738 35.7057 31.2914
3 33.0467 40.386 34.4557
4 35.6537 36.2363 34.4268
5 33.9048 38.3993 34.6229
6 35.6875 47.02 37.1731
7 32.4907 35.0372 34.1956
8 32.7967 37.3779 36.2547
9 36.6075 36.1446 35.7004
10 37.3028 37.8538 33.2268
11 31.9427 33.6803 46.1329
12 32.6051 39.2886 45.0934
13 36.5486 33.5984 30.0619
14 33.3098 35.0172 36.2818
15 38.5151 40.4829 33.6124
16 33.1793 34.4439 34.445
17 38.9826 34.7141 34.6967
18 32.8149 28.8054 33.7455
19 41.8011 34.5227 34.1209
20 34.4297 32.6883 46.6579
21 38.0711 34.3661 41.2121
22 42.424 41.9448 40.3361
23 35.6297 32.6015 35.1577
24 32.6605 36.0691 37.8499
25 31.6814 40.1316 33.2838
26 41.2236 35.7353 36.129
27 41.9179 34.435 35.9492
28 38.7149 45.3658 32.5145
29 37.3276 37.5989 36.4067
30 36.0067 34.214 34.0319
