WS TIME128 TIME256 TIME512
1 0.828652 1.32169 1.96757
2 1.0025 1.77656 3.15912
3 1.34808 2.51137 4.56118
4 1.60582 3.21944 5.82848
5 1.87012 3.69012 7.14921
6 2.21746 4.40945 8.33113
7 2.43267 5.10372 9.60601
8 2.75053 5.53866 11.0874
9 3.05112 6.4501 12.142
10 3.2942 6.84668 13.9371
11 3.60557 7.52048 14.9361
12 3.88266 8.09954 16.4478
13 4.18582 8.58191 18.2031
14 4.48387 9.21745 19.1334
15 4.87905 10.0274 22.5162
16 5.1603 10.8352 19.3076
17 5.28385 10.6633 20.3147
18 5.70793 11.2782 21.637
19 5.97996 11.8715 23.2327
20 6.33722 13.9705 26.6465
21 6.72963 14.5117 32.0789
22 6.89549 14.9696 30.9885
23 7.14595 15.2707 30.6185
24 7.48323 15.6205 33.0244
25 8.04876 15.5845 32.8904
26 8.59952 16.4393 32.5014
27 8.5855 16.776 35.9567
28 8.80842 17.4073 40.6622
29 9.55536 18.0667 41.2563
30 9.45067 18.8906 43.8039
